collection_name,app_scope,source_doc_count,target_doc_count,source_index_count,target_index_count,migration_mode,validation_query,status,evidence_path,notes
banners,global,5,5,1,1,full_target_db_migration,"db.banners.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
betaSubscribers,global,42,42,1,1,full_target_db_migration,"db.betaSubscribers.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
billing,global,222,222,2,2,full_target_db_migration,"db.billing.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
blastNotificationsQueue,global,3080621,3080621,2,2,full_target_db_migration,"db.blastNotificationsQueue.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
blasts,global,228,228,1,1,full_target_db_migration,"db.blasts.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
blockedContents,global,1231,1231,1,1,full_target_db_migration,"db.blockedContents.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
carts,global,8,8,1,1,full_target_db_migration,"db.carts.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
cfs_gridfs._tempstore.files,global,5450,5450,2,2,full_target_db_migration,"db.cfs_gridfs._tempstore.files.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
cfs._tempstore.chunks,global,978,978,1,1,full_target_db_migration,"db.cfs._tempstore.chunks.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
cfs.AssetsStorage.filerecord,global,251,251,1,1,full_target_db_migration,"db.cfs.AssetsStorage.filerecord.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
cfs.IDFilesStorage.filerecord,global,29,29,1,1,full_target_db_migration,"db.cfs.IDFilesStorage.filerecord.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
cfs.MediumStorage.filerecord,global,528,528,1,1,full_target_db_migration,"db.cfs.MediumStorage.filerecord.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
cfs.MusicStorage.filerecord,global,947,947,1,1,full_target_db_migration,"db.cfs.MusicStorage.filerecord.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
cfs.PictureStorage.filerecord,global,368,368,1,1,full_target_db_migration,"db.cfs.PictureStorage.filerecord.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
cfs.ThumbStorage.filerecord,global,528,528,1,1,full_target_db_migration,"db.cfs.ThumbStorage.filerecord.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
cfs.Video480Storage.filerecord,global,91,91,1,1,full_target_db_migration,"db.cfs.Video480Storage.filerecord.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
cfs.VideoStorage.filerecord,global,157,157,1,1,full_target_db_migration,"db.cfs.VideoStorage.filerecord.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
chatengineRoomUsers,global,174,174,1,1,full_target_db_migration,"db.chatengineRoomUsers.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
comments,global,4,4,1,1,full_target_db_migration,"db.comments.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
contacts,global,106533,106533,4,4,full_target_db_migration,"db.contacts.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
contentByUserMetric,global,52249,52249,3,3,full_target_db_migration,"db.contentByUserMetric.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
contentPermissions,global,1151,1151,1,1,full_target_db_migration,"db.contentPermissions.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
counters,global,165627,165627,2,2,full_target_db_migration,"db.counters.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
creditPackages,global,3,3,1,1,full_target_db_migration,"db.creditPackages.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
credits,global,2158,2158,1,1,full_target_db_migration,"db.credits.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
crowdaaIDs,global,186,186,2,2,full_target_db_migration,"db.crowdaaIDs.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
dashboardData,global,14,14,1,1,full_target_db_migration,"db.dashboardData.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
deadlines,global,16178,16178,2,2,full_target_db_migration,"db.deadlines.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
defaultQuery,global,2,2,1,1,full_target_db_migration,"db.defaultQuery.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
deletedElements,global,6202,6202,1,1,full_target_db_migration,"db.deletedElements.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
documents,global,66,66,1,1,full_target_db_migration,"db.documents.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
externalPurchases,global,12,12,3,3,full_target_db_migration,"db.externalPurchases.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
favorites,global,568,568,1,1,full_target_db_migration,"db.favorites.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
fbFriends,global,41364,41364,1,1,full_target_db_migration,"db.fbFriends.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
featuredList,global,10,10,1,1,full_target_db_migration,"db.featuredList.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
festivals,global,2,2,1,1,full_target_db_migration,"db.festivals.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
forms,global,53,53,1,1,full_target_db_migration,"db.forms.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
forumCategories,global,1,1,1,1,full_target_db_migration,"db.forumCategories.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
genres,global,292,292,1,1,full_target_db_migration,"db.genres.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
ghantyMyFidTickets,global,0,0,3,3,full_target_db_migration,"db.ghantyMyFidTickets.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
ghantyMyFidUsersStars,global,0,0,3,3,full_target_db_migration,"db.ghantyMyFidUsersStars.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
giftPurchases,global,2,2,1,1,full_target_db_migration,"db.giftPurchases.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
homemenu,global,6,6,1,1,full_target_db_migration,"db.homemenu.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
invitations,global,211,211,1,1,full_target_db_migration,"db.invitations.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
lastUpdatePostCollection,global,1,1,1,1,full_target_db_migration,"db.lastUpdatePostCollection.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
lineup,global,62,62,1,1,full_target_db_migration,"db.lineup.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
liveShows,global,23,23,1,1,full_target_db_migration,"db.liveShows.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
liveStream,global,289,289,1,1,full_target_db_migration,"db.liveStream.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
liveStreamsDurations,global,257,257,3,3,full_target_db_migration,"db.liveStreamsDurations.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
maintenance,global,1,1,1,1,full_target_db_migration,"db.maintenance.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
meteor_accounts_loginServiceConfiguration,global,3,3,2,2,full_target_db_migration,"db.meteor_accounts_loginServiceConfiguration.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
meteor_oauth_pendingCredentials,global,0,0,4,4,full_target_db_migration,"db.meteor_oauth_pendingCredentials.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
meteor_oauth_pendingRequestTokens,global,0,0,3,3,full_target_db_migration,"db.meteor_oauth_pendingRequestTokens.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
metrics,global,3,3,1,1,full_target_db_migration,"db.metrics.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
migrations,global,1,1,1,1,full_target_db_migration,"db.migrations.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
musicStorage,global,425,425,1,1,full_target_db_migration,"db.musicStorage.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
nftCollections,global,7,7,1,1,full_target_db_migration,"db.nftCollections.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
notifications,global,17273954,17273954,2,2,full_target_db_migration,"db.notifications.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
orders,global,6,6,1,1,full_target_db_migration,"db.orders.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
organizations,global,121,121,1,1,full_target_db_migration,"db.organizations.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
originalContactImport,global,273,273,1,1,full_target_db_migration,"db.originalContactImport.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
payingViewsHistory,global,6768,6768,1,1,full_target_db_migration,"db.payingViewsHistory.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
payouts,global,3,3,1,1,full_target_db_migration,"db.payouts.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
permGroupsOld,global,826,826,2,2,full_target_db_migration,"db.permGroupsOld.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
phoneCollection,global,329,329,1,1,full_target_db_migration,"db.phoneCollection.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
phonesCollection,global,7935,7935,1,1,full_target_db_migration,"db.phonesCollection.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
pictures,global,2201681,2201681,3,3,full_target_db_migration,"db.pictures.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
pictureStorage,global,247,247,1,1,full_target_db_migration,"db.pictureStorage.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
pipelines,global,1215,1215,1,1,full_target_db_migration,"db.pipelines.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
posts,global,388,388,1,1,full_target_db_migration,"db.posts.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
pressArticles,global,80564,80564,6,6,full_target_db_migration,"db.pressArticles.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
pressArticlesCache,global,7,7,2,2,full_target_db_migration,"db.pressArticlesCache.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
pressAutomationTasks,global,3,3,1,1,full_target_db_migration,"db.pressAutomationTasks.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
pressBlasts,global,101,101,1,1,full_target_db_migration,"db.pressBlasts.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
pressCategories,global,5247,5247,2,2,full_target_db_migration,"db.pressCategories.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
pressDrafts,global,119054,119054,5,5,full_target_db_migration,"db.pressDrafts.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
pressIapPolls,global,21,21,1,1,full_target_db_migration,"db.pressIapPolls.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
pressIapPollsVotes,global,109,109,1,1,full_target_db_migration,"db.pressIapPollsVotes.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
pressModals,global,3,3,1,1,full_target_db_migration,"db.pressModals.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
pressNotificationsQueue,global,953,953,1,1,full_target_db_migration,"db.pressNotificationsQueue.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
pressPolls,global,59,59,1,1,full_target_db_migration,"db.pressPolls.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
pressPollsVotes,global,843,843,1,1,full_target_db_migration,"db.pressPollsVotes.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
profil,global,403,403,2,2,full_target_db_migration,"db.profil.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
Project,global,404,404,3,3,full_target_db_migration,"db.Project.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
purchasableProducts,global,2318,2318,1,1,full_target_db_migration,"db.purchasableProducts.countDocuments({})",done,/Users/crowdaa/Desktop/gits/ikunik-infra/documentation_claude/migration_control/EVIDENCE_LOGS/2026-03-09_ikunik_us_atlas_replication_execution.md,parity_ok
